Title,Distr,TMDB Movie ID,Genre 1,Genre 2,Popularity (%),Runtime (minutes),Average Vote
Hum Tum,Yash Raj,793308,Romance,Drama,0.6,123.0,0.0
Harry Potter and the Prisoner of Azkaban,Warner,673,Adventure,Fantasy,220.531,141.0,8.0
Japanese Story,Tartan,13433,Drama,Romance,4.171,110.0,6.5
Aan,Venus,118079,Action,Adventure,1.4,161.0,5.3
Connie and Carla,UIP,15673,Music,Comedy,6.338,98.0,6.1
Jersey Girl,BVI,9541,Comedy,Romance,11.031,102.0,6.1
The Cooler,Tartan,10744,Romance,Drama,8.702,101.0,6.8
The Whole Ten Yards,Warner,2122,Comedy,Thriller,17.351,98.0,5.7
Freeze Frame,Verve,12612,Thriller,Drama,4.673,99.0,6.5
The Ladykillers,BVI,5516,Comedy,Crime,10.329,104.0,6.1
The Notebook,Entertainment,11036,Romance,Drama,51.677,123.0,7.9
You Got Served,Col/TriStar,14114,Music,Drama,13.908,95.0,6.3
Shrek 2,UIP,809,Animation,Family,127.848,93.0,7.1
Godsend,Pathe,11058,Drama,Horror,8.716,102.0,4.9
Club Dread,20th Fox,11217,Comedy,Horror,8.347,104.0,5.2
One for the Road,Tartan,521040,Horror,Fantasy,4.845,0.0,0.0
Around the World in 80 Days,Entertainment,10204,Action,Adventure,22.366,120.0,5.9
Walking Tall,20th Fox,11358,Adventure,Drama,21.414,86.0,6.3
Twisted,UIP,13572,Action,Adventure,9.596,97.0,5.5
Thunderbirds,UIP,14623,Action,Adventure,9.367,95.0,4.9
Before Sunset,Warner,80,Drama,Romance,11.401,80.0,7.8
King Arthur,BVI,9477,Adventure,War,25.864,126.0,6.3
Garfield,20th Fox,8920,Animation,Comedy,92.164,80.0,5.6
The Stepford Wives,UIP,9890,Comedy,Science Fiction,13.493,93.0,5.7
Anything Else,Optimum,10739,Comedy,Romance,11.284,108.0,6.2
"I, Robot",20th Fox,2048,Action,Science Fiction,35.94,115.0,6.9
Home on the Range,BVI,13700,Animation,Family,45.064,76.0,6.0
The Bourne Supremacy,UIP,2502,Action,Drama,29.775,108.0,7.3
Catwoman,Warner,314,Action,Fantasy,27.928,104.0,4.6
The Village,BVI,6947,Drama,Mystery,33.667,108.0,6.4
Cowboys & Angels,BVI,20148,Comedy,Drama,3.178,86.0,6.5
The Chronicles of Riddick,UIP,2789,Action,Science Fiction,16.429,119.0,6.5
Raising Helen,BVI,4599,Drama,Comedy,10.469,119.0,6.1
The Terminal,UIP,594,Comedy,Drama,30.149,128.0,7.3
Hellboy,Col/TriStar,456740,Fantasy,Action,46.503,120.0,5.5
Stage Beauty,Momentum,26108,Comedy,Romance,6.41,106.0,6.8
Festival Express,Optimum,14770,Documentary,History,3.583,90.0,7.0
Open Water,Redbus,83,Drama,Thriller,17.035,79.0,5.5
Wicker Park,Momentum,11208,Drama,Mystery,12.522,114.0,6.9
Trauma,Warner,469722,Horror,Thriller,9.98,106.0,5.8
Code 46,Verve,2577,Drama,Science Fiction,6.603,93.0,6.3
Wimbledon,UIP,11823,Comedy,Romance,9.087,98.0,6.2
Cellular,Entertainment,9759,Action,Thriller,19.338,94.0,6.4
The Punisher,Col/TriStar,7220,Action,Crime,37.092,124.0,6.3
Spivs,Verve,43755,Action,Comedy,1.498,95.0,4.5
Saw,Entertainment,176,Horror,Mystery,75.979,103.0,7.4
Layer Cake,Col/TriStar,4836,Drama,Thriller,16.317,105.0,7.0
Sky Captain and the World of Tomorrow,UIP,5137,Mystery,Action,16.831,107.0,5.8
The Life and Death of Peter Sellers,Icon,10609,Drama,Comedy,8.386,122.0,6.6
De-Lovely,20th Fox,15237,Drama,Music,8.845,125.0,6.3
Dead Man's Shoes,Optimum,12877,Drama,Thriller,7.843,90.0,7.2
Resident Evil: Apocalypse,Col/TriStar,1577,Horror,Action,29.312,94.0,6.4
Shark Tale,UIP,10555,Animation,Action,50.003,90.0,6.0
White Chicks,Col/TriStar,12153,Comedy,Crime,72.755,109.0,6.9
The Triumph of Love,Artificial Eye,35337,Comedy,Drama,3.567,112.0,5.8
Alfie,UIP,8849,Comedy,Drama,11.607,103.0,5.7
Exorcist: The Beginning,Warner,11026,Horror,Mystery,18.445,114.0,5.3
House of the Dead,Redbus,11059,Horror,Action,9.743,90.0,3.1
The Grudge,UIP,1970,Horror,Mystery,43.009,92.0,5.9
Bad Santa,Col/TriStar,10147,Drama,Comedy,24.385,92.0,6.5
Birth,Entertainment,10740,Mystery,Drama,7.844,100.0,5.9
Fakers,Guerilla,121723,Drama,TV Movie,3.04,103.0,5.3
Anacondas: The Hunt for the Blood Orchid,Col/TriStar,11237,Adventure,Action,37.993,96.0,5.4
After the Sunset,Entertainment,10589,Action,Comedy,9.866,97.0,6.2
The Manchurian Candidate,UIP,14462,Drama,Thriller,16.609,129.0,6.4
Taxi,20th Fox,2330,Action,Comedy,32.457,86.0,6.6
The Forgotten,Col/TriStar,10145,Thriller,Drama,14.928,91.0,6.0
Beyond the Sea,Entertainment,6478,Drama,Music,8.418,118.0,6.3
Christmas with the Kranks,Col/TriStar,13673,Comedy,Family,29.805,99.0,6.0
School for Seduction,Redbus,26510,Comedy,Drama,2.691,104.0,4.7
Aaltra,Gala,12249,Comedy,Drama,2.979,92.0,6.8
Ella Enchanted,BVI,14442,Family,Fantasy,49.172,96.0,6.4
Raincoat,Venus,41252,Drama,Romance,2.218,120.0,7.1
Die Another Day,Fox,36669,Adventure,Action,23.625,133.0,6.0
Sweet Home Alabama,BVI,11529,Comedy,Romance,14.594,108.0,6.4
The Santa Clause 2,BVI,9021,Fantasy,Comedy,34.804,104.0,5.8
Like Mike,Fox,21972,Comedy,Family,14.619,99.0,6.0
The Quiet American,BVI,8198,Romance,Thriller,7.933,101.0,6.6
Chicago,BVI,1574,Comedy,Crime,19.522,113.0,7.2
Dirty Pretty Things,BVI,3472,Crime,Drama,6.656,97.0,7.0
Blood Work,Warner,9573,Crime,Thriller,11.486,110.0,6.1
28 Days Later,Fox,170,Horror,Thriller,44.195,113.0,7.2
Gangs of New York,Entm't,3131,Drama,History,26.28,167.0,7.3
The Tuxedo,UIP,10771,Thriller,Action,22.717,98.0,5.7
The Good Girl,Fox,9962,Drama,Comedy,11.445,93.0,6.3
Deathwatch,Pathe,12576,Drama,Horror,6.25,94.0,5.8
8 Mile,UIP,65,Music,Drama,33.261,110.0,7.1
The Transporter,Fox,4108,Action,Crime,42.618,92.0,6.7
I Spy,Col/Tri,8427,Action,Adventure,11.639,97.0,5.4
Ghost Ship,UIP,9645,Horror,Mystery,37.683,91.0,5.9
About Schmidt,Entm't,2755,Drama,Comedy,9.965,125.0,6.8
The Pianist,Pathe,423,Drama,War,37.673,150.0,8.4
Catch Me If You Can,UIP,640,Drama,Crime,44.442,141.0,7.9
Two Weeks Notice,Warner,2642,Comedy,Romance,21.464,101.0,6.3
Final Destination 2,Entm't,9358,Horror,Mystery,50.266,90.0,6.2
Daredevil,Fox,9480,Fantasy,Action,31.997,103.0,5.2
Treasure Planet,BVI,9016,Adventure,Animation,46.22,95.0,7.5
Undercover Brother,Winchester,12277,Action,Comedy,11.961,86.0,5.8
Revengers Tragedy,Metro Tartan,23750,Comedy,Drama,3.135,106.0,5.4
The Ring,UIP,565,Horror,Mystery,47.029,115.0,6.6
Jackass: The Movie,UIP,9012,Comedy,Documentary,18.6,87.0,6.2
Analyze That,Warner,9932,Comedy,Crime,14.786,96.0,5.8
Solaris,Fox,2103,Drama,Science Fiction,11.161,99.0,5.9
The Life of David Gale,UIP,11615,Drama,Thriller,10.864,130.0,7.4
Equilibrium,Momentum,7299,Action,Science Fiction,19.116,107.0,7.0
Confessions of a Dangerous Mind,BVI,4912,Comedy,Crime,9.862,113.0,6.8
Barbershop,Fox,10611,Comedy,Drama,12.867,102.0,6.3
Just Married,Fox,12090,Comedy,Romance,14.785,95.0,5.7
National Security,Col/Tri,11078,Action,Comedy,14.396,88.0,5.9
The Good Thief,Momentum,6016,Crime,Drama,5.68,108.0,6.1
The Recruit,BVI,1647,Action,Thriller,13.991,115.0,6.4
The Core,UIP,9341,Action,Thriller,22.994,136.0,5.7
The Rules of Attraction,Icon,1809,Comedy,Drama,12.325,111.0,6.2
The Matrix Reloaded,Warner,604,Adventure,Action,47.197,138.0,7.0
Kangaroo Jack,Warner,10628,Family,Comedy,27.409,89.0,5.1
The Hot Chick,BVI,11852,Comedy,Fantasy,43.62,104.0,6.3
Darkness Falls,Col/TriStar,10727,Thriller,Horror,18.488,86.0,5.5
How to Lose a Guy in 10 Days,UIP,9919,Comedy,Romance,19.815,116.0,6.7
The Jungle Book 2,BVI,14873,Family,Animation,22.756,72.0,5.9
Phone Booth,20th Fox,1817,Thriller,Drama,16.77,81.0,6.8
Secretary,Metro,11013,Comedy,Drama,18.531,104.0,6.8
I Capture the Castle,Momentum,17920,Drama,Romance,5.94,113.0,7.0
Hope Springs,BVI,82696,Drama,Comedy,15.605,100.0,6.2
Armaan,Eros,73259,Drama,Romance,1.007,158.0,5.0
The Actors,Momentum,33175,Comedy,Crime,4.948,91.0,6.0
To Kill a King,Pathe,18359,Drama,Action,5.03,102.0,5.8
Extreme Ops,UIP,15074,Action,Adventure,7.552,93.0,4.8
The Last Great Wilderness,Feature Film Co,38739,Thriller,Mystery,1.468,95.0,5.8
Ripley's Game,Entertainment,10955,Crime,Thriller,6.804,110.0,6.4
The Hunted,Redbus,10632,Drama,Action,12.233,94.0,6.1
2 Fast 2 Furious,UIP,584,Action,Crime,5.338,108.0,6.4
Chalte Chalte,Eros,570633,Action,Romance,0.638,94.0,6.0
Igby Goes Down,Optimum,9685,Comedy,Drama,8.876,97.0,6.6
A Guy Thing,20th Fox,9582,Comedy,Romance,8.701,101.0,5.9
I'll Be There,Warner,48967,Comedy,Drama,3.046,105.0,6.0
Bruce Almighty,BVI,310,Fantasy,Comedy,35.522,101.0,6.7
Nicholas Nickleby,20th Fox,29339,Adventure,Drama,9.45,132.0,6.9
Main Prem Ki Diwani Hoon,Yash Raj,165402,Drama,Romance,3.13,197.0,5.5
Biker Boyz,UIP,12253,Action,Drama,15.27,110.0,6.2
Charlie's Angels: Full Throttle,Col/TriStar,9471,Action,Adventure,27.156,106.0,5.5
Piglet's Big Movie,BVI,13691,Animation,Family,10.618,75.0,6.7
Daddy Day Care,Col/TriStar,10708,Comedy,Family,17.683,92.0,5.9
Veronica Guerin,BVI,10629,Drama,Crime,9.706,98.0,6.7
Whale Rider,Icon,1088,Drama,Family,9.39,101.0,7.3
The In-Laws,Warner,19827,Action,Adventure,9.47,103.0,6.7
Buffalo Soldiers,Pathe,9104,Drama,Comedy,9.172,98.0,6.4
Brown Sugar,20th Fox,37964,Comedy,Romance,8.861,109.0,6.7
Max,Pathe,272878,Adventure,Drama,38.11,111.0,7.1
Agent Cody Banks,Fox,10923,Action,Adventure,16.579,102.0,5.4
Terminator 3: Rise of the Machines,Col/TriStar,296,Action,Thriller,32.777,109.0,6.1
Chori Chori,21st Century,25020,Drama,Comedy,2.125,135.0,6.3
Rugrats Go Wild,UIP,20694,Family,Animation,14.736,84.0,6.2
What a Girl Wants,Warner,10735,Comedy,Romance,19.19,105.0,6.2
Respiro,Metro,12544,Comedy,Drama,4.652,95.0,6.6
Confidence,Momentum,10743,Action,Comedy,7.269,97.0,6.3
The Lizzie McGuire Movie,BVI,18736,Family,Comedy,12.809,94.0,6.3
Hollywood Homicide,Col/TriStar,11375,Action,Adventure,10.031,116.0,5.3
Tears of the Sun,Col/TriStar,9567,War,Action,37.842,121.0,6.8
The Hard Word,Metrodome,16311,Action,Comedy,3.947,102.0,5.8
The Italian Job,UIP,9654,Action,Crime,27.242,110.0,6.7
Le Divorce,20th Fox,9499,Comedy,Drama,9.275,117.0,5.0
Raising Victor Vargas,Momentum,25461,Drama,Romance,4.566,88.0,7.5
Once Upon a Time in Mexico,BVI,1428,Action,Drama,20.524,102.0,6.3
Matchstick Men,Warner,7270,Comedy,Drama,9.561,116.0,7.0
Young Adam,Warner,237,Drama,Thriller,8.301,93.0,5.9
Ned Kelly,UIP,10544,Action,Adventure,7.141,110.0,6.0
Finding Nemo,BVI,12,Animation,Family,98.136,100.0,7.8
Baghban,Eros,155500,Drama,Documentary,1.981,87.0,5.2
Spellbound,Metrodome,4174,Mystery,Thriller,10.27,111.0,7.5
Concert for George,Pathe,28236,Music,Documentary,2.921,140.0,8.4
The League of Extraordinary Gentlemen,20th Fox,8698,Fantasy,Action,34.843,110.0,5.9
Mystic River,Warner,322,Thriller,Crime,25.184,138.0,7.7
Bollywood Queen,Redbus,44367,Drama,Music,1.97,89.0,6.0
Intolerable Cruelty,UIP,11775,Crime,Comedy,14.484,100.0,5.9
Holes,BVI,8326,Adventure,Family,9.573,117.0,6.8
Secondhand Lions,Entertainment,13156,Family,Comedy,10.447,111.0,7.2
The Matrix Revolutions,Warner,605,Adventure,Action,50.566,129.0,6.7
Seabiscuit,BVI,4464,Drama,History,11.718,141.0,7.0
Miranda,Pathe,52212,Comedy,Romance,9.269,93.0,5.4
The Medallion,Col/TriStar,10610,Thriller,Fantasy,18.012,88.0,5.6
Octane,BVI,44289,Mystery,Thriller,3.12,91.0,5.3
Spin the Bottle,BVI,44508,Romance,Comedy,3.101,83.0,6.3
Timeline,Entertainment,9562,Action,Adventure,18.045,116.0,5.7
The Fighting Temptations,UIP,22309,Comedy,Music,10.83,122.0,5.7
Behind Enemy Lines,Fox,8007,Action,Drama,19.095,106.0,6.3
The Princess Diaries,BVI,9880,Comedy,Family,36.508,115.0,6.9
Serendipity,BVI,9778,Comedy,Romance,17.291,90.0,6.8
The 51st State,Momentum,1613,Thriller,Action,11.058,93.0,6.1
The Last Castle,UIP,2100,Action,Drama,13.579,131.0,7.1
Mulholland Drive,Pathe,1018,Thriller,Drama,23.839,147.0,7.8
Monsoon Wedding,Film Four,480,Comedy,Drama,7.462,114.0,6.9
The Others,BVI,1933,Horror,Drama,37.11,101.0,7.6
Christmas Carol: The Movie,Pathe,35257,Animation,Family,7.798,77.0,5.1
Beauty and the Beast,BVI,10020,Romance,Family,73.311,84.0,7.7
The Man Who Wasn't There,Entm't,10778,Crime,Thriller,14.655,116.0,7.6
Rat Race,Pathe,9896,Adventure,Comedy,12.703,112.0,6.2
Domestic Disturbance,UIP,11456,Mystery,Thriller,15.896,89.0,5.8
Rock Star,Warner,12508,Music,Drama,13.993,105.0,6.7
Soul Survivors,Momentum,14033,Horror,Mystery,8.25,84.0,4.6
Last Orders,Metrodome,14778,Comedy,Drama,5.055,109.0,6.1
Black Hawk Down,Col/Tri,855,Action,History,27.508,145.0,7.4
Long Time Dead,UIP,27259,Horror,Thriller,13.334,94.0,5.5
Vanilla Sky,UIP,1903,Romance,Science Fiction,25.359,136.0,6.8
Spy Game,Entm't,1535,Action,Crime,22.26,126.0,6.9
In the Bedroom,BVI,1999,Drama,Thriller,11.926,130.0,6.9
Shallow Hal,Fox,9889,Comedy,Romance,15.855,114.0,6.1
Gosford Park,Entm't,5279,Drama,Mystery,14.464,131.0,6.9
Training Day,Warner,2034,Action,Crime,50.742,122.0,7.5
"Monsters, Inc.",BVI,585,Animation,Comedy,150.901,92.0,7.8
From Hell,Fox,768,Horror,Mystery,29.532,122.0,6.7
Just Visiting,Momentum,56715,Comedy,Fantasy,8.173,88.0,4.6
Ocean's Eleven,Warner,161,Thriller,Crime,30.008,116.0,7.4
Charlotte Gray,Film Four,12660,Drama,History,6.753,121.0,6.0
A Beautiful Mind,UIP,453,Drama,Romance,29.255,135.0,7.9
The Mothman Prophecies,Helkon SK,2637,Drama,Horror,21.104,119.0,6.2
The Shipping News,BVI,6440,Drama,Romance,9.217,111.0,6.3
We Were Soldiers,Icon,10590,Action,History,26.785,138.0,7.1
Hearts in Atlantis,Warner,11313,Drama,Mystery,10.554,101.0,6.6
Ice Age,Fox,425,Animation,Comedy,121.397,81.0,7.3
Jimmy Neutron: Boy Genius,UIP,12589,Family,Action,14.696,83.0,5.9
The Royal Tenenbaums,BVI,9428,Comedy,Drama,21.394,110.0,7.5
Crossroads,Momentum,15392,Drama,Music,10.438,99.0,7.3
Collateral Damage,Warner,9884,Action,Thriller,17.638,108.0,5.7
24 Hour Party People,Pathe,2750,Comedy,Drama,9.569,117.0,7.0
Bend It Like Beckham,Helkon SK,455,Comedy,Drama,12.115,112.0,6.3
The One,Col/Tri,10796,Action,Science Fiction,25.358,87.0,6.1
The Scorpion King,UIP,9334,Action,Adventure,29.971,92.0,5.5
Roadkill,Fox,71628,Horror,Thriller,4.011,88.0,5.7
John Q,Entm't,8470,Drama,Thriller,22.859,116.0,7.2
Showtime,Warner,5851,Action,Comedy,9.314,95.0,5.5
Dog Soldiers,Pathe,11880,Horror,Action,11.015,105.0,6.8
Slackers,Momentum,20009,Comedy,Romance,6.768,86.0,5.2
Thunderpants,Pathe,21605,Comedy,Family,7.336,83.0,3.4
Hart's War,Fox,10592,Drama,War,16.583,125.0,6.3
40 Days and 40 Nights,UIP,2752,Comedy,Romance,9.41,94.0,5.5
The Time Machine,Warner,2135,Science Fiction,Adventure,30.282,96.0,6.2
Snow Dogs,BVI,11888,Comedy,Family,14.368,99.0,5.7
Unfaithful,Fox,2251,Thriller,Drama,36.023,124.0,6.6
Monster's Ball,Entm't,1365,Romance,Drama,12.682,113.0,6.8
Dragonfly,BVI,10052,Drama,Thriller,12.977,104.0,6.5
Mere Yaar Ki Shaadi Hai,Yash Raj,139656,Comedy,Romance,4.049,158.0,5.8
Impostor,Metrodome,4965,Action,Science Fiction,8.383,102.0,6.2
Big Fat Liar,UIP,11870,Family,Comedy,12.765,88.0,5.9
Birthday Girl,Film Four,2084,Comedy,Crime,9.457,93.0,5.9
Rollerball,Col/Tri,11535,Action,Science Fiction,7.767,98.0,4.0
Humraaz,Venus,165404,Action,Romance,2.427,173.0,6.4
The Lawless Heart,Optimum,77283,Drama,Comedy,1.617,100.0,5.5
Scooby-Doo,Warner,9637,Mystery,Adventure,122.994,88.0,6.0
Minority Report,Fox,180,Action,Thriller,27.908,145.0,7.3
Resident Evil,Pathe,1576,Horror,Action,31.371,100.0,6.6
Devdas,Eros,685057,Drama,Romance,0.631,144.0,0.0
Bad Company,BVI,3132,Action,Adventure,14.638,116.0,5.4
No Man's Land,Momentum,34379,Action,Drama,6.637,106.0,6.0
Stuart Little 2,Col/Tri,10996,Family,Adventure,44.355,78.0,5.7
Jason X,Entm't,11470,Horror,Science Fiction,44.229,91.0,4.8
The Abduction Club,Pathe,21893,Comedy,History,3.323,96.0,6.2
Hijack Stories,Momentum,58169,Drama,Crime,0.708,0.0,5.3
Austin Powers in Goldmember,Entm't,818,Comedy,Crime,34.251,94.0,6.0
Eight Legged Freaks,Warner,8869,Action,Comedy,19.521,99.0,5.7
The Wash,Metrodome,13408,Action,Comedy,6.132,93.0,5.0
Lantana,Winchester,9523,Crime,Drama,7.297,121.0,6.6
The Guru,UIP,9027,Comedy,Romance,10.896,91.0,5.1
Black Knight,Fox,11469,Comedy,Fantasy,10.866,95.0,5.4
Insomnia,BVI,320,Crime,Mystery,18.955,118.0,6.9
The Sweetest Thing,Col/Tri,11812,Romance,Comedy,10.396,84.0,5.5
Windtalkers,Fox,12100,War,Drama,21.706,134.0,6.1
Kin,Feature Film Co,874948,Crime,Drama,643.568,104.0,6.6
The Bourne Identity,UIP,2501,Action,Drama,32.848,119.0,7.4
Signs,BVI,2675,Drama,Thriller,29.469,106.0,6.6
My Big Fat Greek Wedding,Entm't,8346,Comedy,Drama,13.581,95.0,6.5
Road to Perdition,Fox,4147,Crime,Drama,22.305,117.0,7.4
Lilo & Stitch,BVI,11544,Animation,Family,78.756,85.0,7.5
One Hour Photo,Fox,9357,Drama,Thriller,16.67,96.0,6.7
Sweet Sixteen,Icon,1376,Crime,Drama,6.705,106.0,7.0
Red Dragon,UIP,9533,Crime,Thriller,6.903,124.0,7.0
Clockstoppers,UIP,15028,Adventure,Family,9.187,94.0,5.2
High Crimes,Fox,11560,Drama,Mystery,12.771,115.0,6.3
Donnie Darko,Metrodome,141,Fantasy,Drama,31.657,114.0,7.8
Changing Lanes,UIP,1537,Crime,Thriller,10.993,99.0,6.1
Orange County,UIP,11857,Comedy,Drama,11.4,82.0,6.1
Halloween: Resurrection,BVI,11442,Horror,Thriller,55.896,89.0,4.7
Super Troopers,Fox,39939,Comedy,Crime,16.22,100.0,6.6
Rabbit-Proof Fence,BVI,9555,Adventure,Drama,7.815,94.0,7.0
Two Men Went To War,Guerilla Films,47952,Comedy,War,3.362,109.0,5.5
Mr. Deeds,Col/Tri,2022,Comedy,Romance,21.209,96.0,5.8
My Kingdom,Metro Tartan,48767,Action,Crime,1.184,117.0,5.1
Enough,Col/Tri,1957,Drama,Thriller,14.42,114.0,6.6
The War Bride,Miracle Comms,41839,Drama,Romance,2.646,103.0,5.9
Rishtey,Venus,215322,Action,Drama,1.415,156.0,4.3
The Dancer Upstairs,Fox,20689,Crime,Drama,5.444,132.0,6.6
All or Nothing,UGC,12454,Comedy,Drama,9.673,128.0,7.1
Kaante,Bollywood,35907,Action,Thriller,2.654,152.0,5.7
Swordfish,WB,9705,Action,Crime,17.65,99.0,6.2
Dr. Dolittle 2,Fox,10808,Comedy,Family,19.773,87.0,5.3
Shrek,UIP,808,Animation,Comedy,143.776,90.0,7.7
High Heels and Low Lifes,BVI,10034,Action,Crime,5.198,86.0,6.4
Intimacy,Pathe,11845,Romance,Drama,13.22,119.0,6.4
Pearl Harbor,BVI,676,War,History,39.01,183.0,6.9
Blow,Entm't,4133,Crime,Drama,29.36,124.0,7.4
Rush Hour 2,Entm't,5175,Action,Comedy,41.429,90.0,6.7
Recess: School's Out,BVI,19405,Science Fiction,Family,11.13,82.0,6.5
The Parole Officer,UIP,32577,Crime,Comedy,8.169,93.0,5.9
Planet of the Apes,Fox,869,Thriller,Science Fiction,55.239,119.0,5.7
Lara Croft: Tomb Raider,UIP,1995,Adventure,Fantasy,26.199,100.0,5.9
Heartbreakers,Icon,10833,Comedy,Romance,12.661,123.0,6.0
Lucky Break,FFD,35944,Action,Comedy,3.338,107.0,6.4
Josie and the Pussycats,Fox,19366,Comedy,Music,8.214,98.0,5.5
A Knight's Tale,Col/Tri,9476,Adventure,Drama,25.38,132.0,6.9
Angel Eyes,WB,5852,Drama,Romance,9.806,102.0,6.1
The Martins,Icon,39783,Comedy,Drama,2.92,87.0,5.8
Crazy/Beautiful,BVI,10691,Drama,Romance,9.041,99.0,6.6
Enigma,BVI,10491,Mystery,Drama,8.368,119.0,6.4
The Score,Pathe,11371,Action,Crime,21.907,124.0,6.7
American Desi,Eros,32222,Drama,Comedy,3.296,100.0,5.9
American Pie 2,UIP,2770,Comedy,Romance,62.566,108.0,6.2
The Pledge,Warner,5955,Crime,Drama,11.269,123.0,6.6
America's Sweethearts,Col/Tri,11467,Comedy,Romance,10.717,102.0,5.7
Jeepers Creepers,Helkon Sk,8922,Horror,Thriller,71.187,90.0,6.4
Kiss of the Dragon,Fox,2140,Action,Crime,22.834,98.0,6.8
Ghost World,Icon,1548,Comedy,Drama,7.588,111.0,7.2
Baby Boy,Col/Tri,16161,Crime,Drama,11.033,130.0,7.2
Bandits,Fox,3172,Comedy,Crime,16.186,123.0,6.3
Ghosts of Mars,Col/Tri,10016,Action,Horror,12.686,98.0,5.1
The Deep End,Fox,24936,Mystery,Thriller,9.287,101.0,6.2
